line_item_narative,Line_item_target,aug_flag
I'll be at mu in like  &lt;#&gt;  seconds,ham,default
"Tell you what, if you make a little spreadsheet and track whose idea it was to smoke to determine who \smokes too much\"" for the entire month of february",ham,default
For sale - arsenal dartboard. Good condition but no doubles or trebles!,spam,default
Don't look back at the building because you have no coat and i don't want you to get more sick. Just hurry home and wear a coat to the gym!!!,ham,default
"My painful personal thought- \I always try to keep everybody happy all the time. But nobody recognises me when i am alone\""""",ham,default
Thanks for ve lovely wisheds. You rock,ham,default
You intrepid duo you! Have a great time and see you both soon. ,ham,default
I asked sen to come chennai and search for job.,ham,default
Wat so late still early mah. Or we juz go 4 dinner lor. Aiya i dunno...,ham,default
"Arms fine, how's Cardiff and uni? ",ham,default
In fact when do you leave? I think addie goes back to school tues or wed,ham,default
"Cool breeze... Bright sun... Fresh flower... Twittering birds... All these waiting to wish u: \GOODMORNING &amp; HAVE A NICE DAY\"" :)""",ham,default
"Its ok., i just askd did u knw tht no?",ham,default
Free 1st week entry 2 TEXTPOD 4 a chance 2 win 40GB iPod or å£250 cash every wk. Txt POD to 84128 Ts&Cs www.textpod.net custcare 08712405020.,spam,default
Looks like u wil b getting a headstart im leaving here bout 2.30ish but if u r desperate for my company I could head in earlier-we were goin to meet in rummer.,ham,default
DonÛ÷t give a flying monkeys wot they think and I certainly donÛ÷t mind. Any friend of mine and all that!,ham,default
As a registered optin subscriber ur draw 4 å£100 gift voucher will be entered on receipt of a correct ans to 80062 Whats No1 in the BBC charts,spam,default
"That's good, because I need drugs",ham,default
Stupid.its not possible,ham,default
Can Ì_ all decide faster cos my sis going home liao..,ham,default
Summers finally here! Fancy a chat or flirt with sexy singles in yr area? To get MATCHED up just reply SUMMER now. Free 2 Join. OptOut txt STOP Help08714742804,spam,default
Bought one ringtone and now getting texts costing 3 pound offering more tones etc,spam,default
"Yalru lyfu astne chikku.. Bt innu mundhe lyf ali halla ke bilo (marriage)program edhae, so lyf is nt yet ovr chikku..ali vargu lyfu meow meow:-D",ham,default
Kinda. First one gets in at twelve! Aah. Speak tomo,ham,default
Ok good then i later come find Ì_... C lucky i told Ì_ to go earlier... Later pple take finish Ì_ no more again...,ham,default
Hi its LUCY Hubby at meetins all day Fri & I will B alone at hotel U fancy cumin over? Pls leave msg 2day 09099726395 Lucy x Callså£1/minMobsmoreLKPOBOX177HP51FL,spam,default
"7 wonders in My WORLD 7th You 6th Ur style 5th Ur smile 4th Ur Personality 3rd Ur Nature 2nd Ur SMS and 1st \Ur Lovely Friendship\""... good morning dear""",ham,default
"Friendship is not a game to play, It is not a word to say, It doesn\'t start on March and ends on May, It is tomorrow, yesterday, today and e",ham,default
"Nice. Wait...should you be texting right now? I'm not gonna pay your ticket, ya know!",ham,default
I'm watching lotr w my sis dis aft. So u wan 2 meet me 4 dinner at nite a not?,ham,default
Why you keeping me away like this,ham,default
"I'm a guy, browsin is compulsory",ham,default
I told your number to gautham..,ham,default
Tell them no need to investigate about me anywhere.,ham,default
Ok i juz receive..,ham,default
"Cant believe i said so many things to you this morning when all i really wanted to say was good morning, i love you! Have a beautiful morning. See you in the library later.",ham,default
"Your account has been credited with 500 FREE Text Messages. To activate, just txt the word: CREDIT to No: 80488 T&Cs www.80488.biz",spam,default
How are you with moneY...as in to you...money aint a thing....how are you sha!,ham,default
It has everything to do with the weather. Keep extra warm. Its a cold but nothing serious. Pls lots of vitamin c,ham,default
Hey gals.. Anyone of u going down to e driving centre tmr?,ham,default
I'm putting it on now. It should be ready for  &lt;TIME&gt; ,ham,default
"Time n Smile r the two crucial things in our life. Sometimes time makes us to forget smile, and sometimes someone's smile makes us to forget time gud noon",ham,default
Host-based IDPS for linux systems.,ham,default
"HOT LIVE FANTASIES call now 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national rate call",spam,default
Ill be there on  &lt;#&gt;  ok.,ham,default
Total video converter free download type this in google search:),ham,default
Thanks for the Vote. Now sing along with the stars with Karaoke on your mobile. For a FREE link just reply with SING now.,spam,default
Sounds like something that someone testing me would sayy,ham,default
When u love someone Dont make them to love u as much as u do. But Love them so much that they dont want to be loved by anyone except you... Gud nit.,ham,default
"Pete,is this your phone still? Its Jenny from college and Leanne.what are you up to now?:)",ham,default
Oops sorry. Just to check that you don't mind picking me up tomo at half eight from station. Would that be ok?,ham,default
"Hey sweet, I was wondering when you had a moment if you might come to me ? I want to send a file to someone but it won't go over yahoo for them because their connection sucks, remember when you set up that page for me to go to and download the format disc ? Could you tell me how to do that ? Or do you know some other way to download big files ? Because they can download stuff directly from the internet. Any help would be great, my prey ... *teasing kiss*",ham,default
Hows the champ just leaving glasgow!,ham,default
K:)all the best:)congrats...,ham,default
I wonder if you'll get this text?,ham,default
I need to come home and give you some good lovin...,ham,default
Check wid corect speling i.e. Sarcasm,ham,default
Are you angry with me. What happen dear,ham,default
I thk u dun haf 2 hint in e forum already lor... Cos i told ron n darren is going 2 tell shuhui.,ham,default
Yup ok thanx...,ham,default
Hi:)cts employee how are you?,ham,default
No screaming means shouting..,ham,default
I think chennai well settled?,ham,default
Horrible bf... I now v hungry...,ham,default
You have won a Nokia 7250i. This is what you get when you win our FREE auction. To take part send Nokia to 86021 now. HG/Suite342/2Lands Row/W1JHL 16+,spam,default
All sounds good. Fingers . Makes it difficult to type,ham,default
You're not sure that I'm not trying to make xavier smoke because I don't want to smoke after being told I smoke too much?,ham,default
Do u konw waht is rael FRIENDSHIP Im gving yuo an exmpel: Jsut ese tihs msg.. Evrey splleing of tihs msg is wrnog.. Bt sitll yuo can raed it wihtuot ayn mitsake.. GOODNIGHT &amp; HAVE A NICE SLEEP..SWEET DREAMS..,ham,default
Now press conference da:),ham,default
"Hello from Orange. For 1 month's free access to games, news and sport, plus 10 free texts and 20 photo messages, reply YES. Terms apply: www.orange.co.uk/ow",spam,default
After completed degree. There is no use in joining finance.,ham,default
"Good afternoon, my love ! Any job prospects ? Are you missing me ? What do you do ? Are you being lazy and bleak, hmmm ? Or happy and filled with my love ?",ham,default
Bishan lar nearer... No need buy so early cos if buy now i gotta park my car...,ham,default
Dude sux for snake. He got old and raiden got buff,ham,default
In e msg jus now. U said thanks for gift.,ham,default
Ok i found dis pierre cardin one which looks normal costs 20 its on sale.,ham,default
Wat r u doing?,ham,default
Message from . I am at Truro Hospital on ext. You can phone me here. as I have a phone by my side,ham,default
"Single line with a big meaning::::: \Miss anything 4 ur \""Best Life\"" but",ham,default
"Just got some gas money, any chance you and the gang want to go on a grand nature adventure?",ham,default
Dnt worry...use ice pieces in a cloth pack.also take 2 tablets.,ham,default
Tmrw. Im finishing 9 doors,ham,default
"The  &lt;#&gt; g that i saw a few days ago, the guy wants sell wifi only for  &lt;#&gt;  and with 3g for  &lt;#&gt; . That's why i blanked him.",ham,default
I am late. I will be there at,ham,default
"whatever, im pretty pissed off.",ham,default
No:-)i got rumour that you going to buy apartment in chennai:-),ham,default
Near kalainar tv office.thenampet,ham,default
Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send GO to 86688 only 150p/msg. CC 08718720201 HG/Suite342/2Lands Row/W1J6HL,spam,default
SMS AUCTION - A BRAND NEW Nokia 7250 is up 4 auction today! Auction is FREE 2 join & take part! Txt NOKIA to 86021 now! HG/Suite342/2Lands Row/W1J6HL,spam,default
My sis is catching e show in e afternoon so i'm not watching w her. So c u wan 2 watch today or tmr lor.,ham,default
"Sounds gd... Haha... Can... Wah, u yan jiu so fast liao...",ham,default
"Remember all those whom i hurt during days of satanic imposter in me.need to pay a price,so be it.may destiny keep me going and as u said pray that i get the mind to get over the same.",ham,default
How to Make a girl Happy? It's not at all difficult to make girls happy. U only need to be... 1. A friend 2. Companion 3. Lover 4. Chef . . .  &lt;#&gt; . Good listener  &lt;#&gt; . Organizer  &lt;#&gt; . Good boyfriend  &lt;#&gt; . Very clean  &lt;#&gt; . Sympathetic  &lt;#&gt; . Athletic  &lt;#&gt; . Warm . . .  &lt;#&gt; . Courageous  &lt;#&gt; . Determined  &lt;#&gt; . True  &lt;#&gt; . Dependable  &lt;#&gt; . Intelligent . . .  &lt;#&gt; . Psychologist  &lt;#&gt; . Pest exterminator  &lt;#&gt; . Psychiatrist  &lt;#&gt; . Healer . .  &lt;#&gt; . Stylist  &lt;#&gt; . Driver . . Aaniye pudunga venaam..,ham,default
"Why is that, princess? I bet the brothas are all chasing you!",ham,default
"I shall book chez jules for half eight, if that's ok with you?",ham,default
Hhahhaahahah rofl wtf nig was leonardo in your room or something,ham,default
There are no other charges after transfer charges and you can withdraw anyhow you like,ham,default
At 4. Let's go to bill millers,ham,default
That's my honeymoon outfit. :),ham,default
PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08719899230 Identifier Code: 41685 Expires 07/11/04,spam,default
Pls confirm the time to collect the cheque.,ham,default
URGENT! Your Mobile number has been awarded with a å£2000 prize GUARANTEED. Call 09061790121 from land line. Claim 3030. Valid 12hrs only 150ppm,spam,default
Daddy will take good care of you :),ham,default
"Yeah probably, I still gotta check out with leo",ham,default
K.then any other special?,ham,default
Have you heard about that job? I'm going to that wildlife talk again tonight if u want2come. Its that2worzels and a wizzle or whatever it is?! ,ham,default
Ok no prob... I'll come after lunch then...,ham,default
Jus telling u dat i'll b leaving 4 shanghai on 21st instead so we'll haf more time 2 meet up cya...,ham,default
You all ready for * big day tomorrow?,ham,default
I'll probably be around mu a lot,ham,default
645,ham,default
RT-KIng Pro Video Club>> Need help? info@ringtoneking.co.uk or call 08701237397 You must be 16+ Club credits redeemable at www.ringtoneking.co.uk! Enjoy!,spam,default
Thnx dude. u guys out 2nite?,ham,default
Me sef dey laugh you. Meanwhile how's my darling anjie!,ham,default
"K, makes sense, btw carlos is being difficult so you guys are gonna smoke while I go pick up the second batch and get gas",ham,default
The 2 oz guy is being kinda flaky but one friend is interested in picking up $ &lt;#&gt;  worth tonight if possible,ham,default
Friends that u can stay on fb chat with,ham,default
"Living is very simple.. Loving is also simple.. Laughing is too simple.. Winning is tooo simple.. But, being 'SIMPLE' is very difficult.. Gud nte.:-",ham,default
U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094599,spam,default
"Ah, well that confuses things, doesnÛ÷t it?",ham,default
500 free text msgs. Just text ok to 80488 and we'll credit your account,spam,default
Hi Dear Call me its urgnt. I don't know whats your problem. You don't want to work or if you have any other problem at least tell me. Wating for your reply.,ham,default
Dear how you. Are you ok?,ham,default
"You have been selected to stay in 1 of 250 top British hotels - FOR NOTHING! Holiday Worth å£350! To Claim, Call London 02072069400. Bx 526, SW73SS",spam,default
Yes princess! I want to make you happy...,ham,default
I am going to film 2day da. At 6pm. Sorry da.,ham,default
Hello my little party animal! I just thought I'd buzz you as you were with your friends ...*grins*... Reminding you were loved and send a naughty adoring kiss,ham,default
Yesterday its with me only . Now am going home.,ham,default
"You have come into my life and brought the sun ..Shiny down on me, warming my heart. Putting a constant smile on my face ... Making me feel loved and cared for",ham,default
"No shit, but I wasn't that surprised, so I went and spent the evening with that french guy I met in town here and we fooled around a bit but I didn't let him fuck me",ham,default
"0A$NETWORKS allow companies to bill for SMS, so they are responsible for their \suppliers\""",spam,default
Great comedy..cant stop laughing da:),ham,default
"Alright, we're all set here, text the man",ham,default
Sleeping nt feeling well,ham,default
I.ll post her out l8r. In class,ham,default
"Evening * v good if somewhat event laden. Will fill you in, don't you worry Û_ Head * ok but throat * wrecked. See you at six then!",ham,default
If u laugh really loud.. If u talk spontaneously.. If u dont care what others feel.. U are probably with your dear &amp; best friends.. GOODEVENING Dear..:),ham,default
ITS A LAPTOP TAKE IT WITH YOU.,ham,default
"For ur chance to win a å£250 cash every wk TXT: ACTION to 80608. T's&C's www.movietrivia.tv custcare 08712405022, 1x150p/wk",spam,default
I was at bugis juz now wat... But now i'm walking home oredi... ÌÏ so late then reply... I oso saw a top dat i like but din buy... Where r Ì_ now? ,ham,default
At 7 we will go ok na.,ham,default
Yes I posted a couple of pics on fb. There's still snow outside too. I'm just waking up :),ham,default
S:-)if we have one good partnership going we will take lead:),ham,default
"Yeah, where's your class at?",ham,default
No just send to you. Bec you in temple na.,ham,default
Hi if ur lookin 4 saucy daytime fun wiv busty married woman Am free all next week Chat now 2 sort time 09099726429 JANINExx Callså£1/minMobsmoreLKPOBOX177HP51FL,spam,default
Dunno cos i was v late n when i reach they inside already... But we ate spageddies lor... It's e gals who r laughing at me lor...,ham,default
Glad to see your reply.,ham,default
Monthly password for wap. mobsi.com is 391784. Use your wap phone not PC.,spam,default
Nah dub but je still buff,ham,default
"Yeah, that's fine! It's å£6 to get in, is that ok? ",ham,default
Lol where do u come up with these ideas?,ham,default
Okay... We wait ah,ham,default
Y lei?,ham,default
Do you want bold 2 or bb torch,ham,default
todays vodafone numbers ending with 0089(my last four digits) are selected to received a å£350 award. If your number matches please call 09063442151 to claim your å£350 award,spam,default
Nan sonathaya soladha. Why boss?,ham,default
Bring tat cd don forget,ham,default
I don't know but I'm raping dudes at poker,ham,default
Weightloss! No more girl friends. Make loads of money on ebay or something. And give thanks to God.,ham,default
Was gr8 to see that message. So when r u leaving? Congrats dear. What school and wat r ur plans.,ham,default
ÌÏ eatin later but i'm eatin wif my frens now lei... ÌÏ going home first? ,ham,default
Finish already... Yar they keep saying i mushy... I so embarrassed ok...,ham,default
"Sorry man, my stash ran dry last night and I can't pick up more until sunday",ham,default
"Free msg. Sorry, a service you ordered from 81303 could not be delivered as you do not have sufficient credit. Please top up to receive the service.",spam,default
Please ask mummy to call father,ham,default
Can come my room but cannot come my house cos my house still messy... Haha...,ham,default
Just taste fish curry :-P,ham,default
What can i do? Might accidant tookplace between somewhere ghodbandar rd. Traffic moves slovely. So plz slip &amp; don't worry.,ham,default
Yes! I am a one woman man! Please tell me your likes and dislikes in bed...,ham,default
"How's my loverboy doing ? What does he do that keeps him from coming to his Queen, hmmm ? Doesn't he ache to speak to me ? Miss me desparately ?",ham,default
"(No promises on when though, haven't even gotten dinner yet)",ham,default
I got your back! Do you have any dislikes in bed?,ham,default
o turns out i had stereo love on mi phone under the unknown album.,ham,default
Yeah I don't see why not,ham,default
Asking do u knw them or nt? May be ur frnds or classmates?,ham,default
"Sorry about earlier. Putting out fires.Are you around to talk after 9? Or do you actually have a life, lol!",ham,default
"As in missionary hook up, doggy hook up, standing...|",ham,default
Then u better go sleep.. Dun disturb u liao.. U wake up then msg me lor..,ham,default
"Hi Jon, Pete here, Ive bin 2 Spain recently & hav sum dinero left, Bill said u or ur åÔrents mayb interested in it, I hav 12,000pes, so around å£48, tb, James.",ham,default
There bold 2  &lt;#&gt; . Is that yours,ham,default
I went to project centre,ham,default
Lol yeah at this point I guess not,ham,default
Doing project w frens lor. ,ham,default
"K, can that happen tonight?",ham,default
"Hi, this is Mandy Sullivan calling from HOTMIX FM...you are chosen to receive å£5000.00 in our Easter Prize draw.....Please telephone 09041940223 to claim before 29/03/05 or your prize will be transferred to someone else....",spam,default
"I think we're going to finn's now, come",ham,default
Why tired what special there you had,ham,default
I will come tomorrow di,ham,default
K go and sleep well. Take rest:-).,ham,default
U guys never invite me anywhere :(,ham,default
UR GOING 2 BAHAMAS! CallFREEFONE 08081560665 and speak to a live operator to claim either Bahamas cruise ofå£2000 CASH 18+only. To opt out txt X to 07786200117,spam,default
I can do that! I want to please you both inside and outside the bedroom...,ham,default
"\EY! CALM DOWNON THEACUSATIONS.. ITXT U COS IWANA KNOW WOTU R DOIN AT THEW/END... HAVENTCN U IN AGES..RING ME IF UR UP4 NETHING SAT.LOVE J XXX.\""""",ham,default
I love to wine and dine my lady!,ham,default
Someone has conacted our dating service and entered your phone because they fancy you!To find out who it is call from landline 09111030116. PoBox12n146tf15,spam,default
"IåÕm cool ta luv but v.tired 2 cause i have been doin loads of planning all wk, we have got our social services inspection at the nursery! Take care & spk sn x.",ham,default
I don know account details..i will ask my mom and send you.my mom is out of reach now.,ham,default
I think u have the wrong number.,ham,default
Feel Yourself That You Are Always Happy.. Slowly It Becomes Your Habit &amp; Finally It Becomes Part Of Your Life.. Follow It.. Happy Morning &amp; Have A Happy Day:),ham,default
DO NOT B LATE LOVE MUM,ham,default
Got it..mail panren paru..,ham,default
Give one miss from that number please,ham,default
Jus came back fr lunch wif my sis only. U leh?,ham,default
Really good:)dhanush rocks once again:),ham,default
Lmao ok I wont be needing u to do my hair anymore.,ham,default
Sorry i'm not free...,ham,default
"Got ur mail Dileep.thank you so muchand look forward to lots of support...very less contacts here,remember one venugopal you mentioned.tomorrow if not late,i shall try to come up till there.goodnight dear.",ham,default
Joy's father is John. Then John is the NAME of Joy's father. Mandan,ham,default
Hi 07734396839 IBH Customer Loyalty Offer: The NEW NOKIA6600 Mobile from ONLY å£10 at TXTAUCTION!Txt word:START to No:81151 & get Yours Now!4T&,spam,default
Hi this is yijue... It's regarding the 3230 textbook it's intro to algorithms second edition... I'm selling it for $50...,ham,default
SMS AUCTION You have won a Nokia 7250i. This is what you get when you win our FREE auction. To take part send Nokia to 86021 now. HG/Suite342/2Lands Row/W1JHL 16+,spam,default
"K, want us to come by now?",ham,default
How. Its a little difficult but its a simple way to enter this place,ham,default
Ha... Both of us doing e same thing. But i got tv 2 watch. U can thk of where 2 go tonight or u already haf smth in mind...,ham,default
Dont show yourself. How far. Put new pictures up on facebook.,ham,default
Watching tv now. I got new job :),ham,default
"Good afternoon sexy buns! How goes the job search ? I wake and you are my first thought as always, my love. I wish your fine and happy and know I adore you!",ham,default
"I'm not coming over, do whatever you want",ham,default
Call FREEPHONE 0800 542 0578 now!,spam,default
";-( oh well, c u later",ham,default
No dear i do have free messages without any recharge. Hi hi hi,ham,default
I dun believe u. I thk u told him.,ham,default
Yes:)sura in sun tv.:)lol.,ham,default
U havenåÕt lost me ill always b here 4u.i didnåÕt intend 2 hurt u but I never knew how u felt about me when Iwas+marine&thatåÕs what itried2tell urmom.i careabout u,ham,default
You bad girl. I can still remember them,ham,default
How much i gave to you. Morning.,ham,default
"I hope your alright babe? I worry that you might have felt a bit desparate when you learned the job was a fake ? I am here waiting when you come back, my love",ham,default
Can i get your opinion on something first?,ham,default
Ok lor thanx... ÌÏ in school?,ham,default
Do have a nice day today. I love you so dearly.,ham,default
Aiyo a bit pai seh Ì_ noe... Scared he dun rem who i am then die... Hee... But he become better lookin oredi leh...,ham,default
"Aight, I'll ask a few of my roommates",ham,default
"Now, whats your house # again ? And do you have any beer there ?",ham,default
Yes we are chatting too.,ham,default
HI ITS JESS I DONT KNOW IF YOU ARE AT WORK BUT CALL ME WHEN U CAN IM AT HOME ALL EVE. XXX,ham,default
Well i will watch shrek in 3D!!B),ham,default
Am i that much dirty fellow?,ham,default
Dunno dat's wat he told me. Ok lor...,ham,default
I couldn't say no as he is a dying man and I feel sad for him so I will go and I just wanted you to know I would probably be gone late into your night,ham,default
If you're thinking of lifting me one then no.,ham,default
Same as u... Dun wan... Y u dun like me already ah... Wat u doing now? Still eating?,ham,default
Sent me ur email id soon,ham,default
Hey gorgeous man. My work mobile number is. Have a good one babe. Squishy Mwahs.,ham,default
That's the way you should stay oh.,ham,default
When should I come over?,ham,default
I have a rather prominent bite mark on my right cheek,ham,default
Are you wet right now?,ham,default
And how's your husband.,ham,default
"Hack Chat. Get backdoor entry into 121 chat rooms at a fraction of the cost. Reply NEO69 or call 09050280520, to subscribe 25p pm. DPS, Bcm box 8027 Ldn, wc1n3xx",spam,default
Are we doing the norm tomorrow? I finish just a 4.15 cos of st tests. Need to sort library stuff out at some point tomo - got letter from today - access til end march so i better get move on!,ham,default
Yeah. I got a list with only u and Joanna if I'm feeling really anti social,ham,default
Super da:)good replacement for murali,ham,default
Hi. || Do u want | to join me with sts later? || Meeting them at five. || Call u after class.,ham,default
Its on in engalnd! But telly has decided it won't let me watch it and mia and elliot were kissing! Damn it!,ham,default
"FREE NOKIA Or Motorola with upto 12mths 1/2price linerental, 500 FREE x-net mins&100txt/mth FREE B'tooth*. Call Mobileupd8 on 08001950382 or call 2optout/D3WV",spam,default
You got job in wipro:)you will get every thing in life in 2 or 3 years.,ham,default
"This is the 2nd time we have tried 2 contact u. U have won the 750 Pound prize. 2 claim is easy, call 08718726970 NOW! Only 10p per min. BT-national-rate ",spam,default
I just made some payments so dont have that much. Sorry. Would you want it fedex or the other way.,ham,default
They did't play one day last year know even though they have very good team.. Like india.,ham,default
K.:)you are the only girl waiting in reception ah?,ham,default
"Say this slowly.? GOD,I LOVE YOU &amp; I NEED YOU,CLEAN MY HEART WITH YOUR BLOOD.Send this to Ten special people &amp; u c miracle tomorrow, do it,pls,pls do it...",ham,default
I hate when she does this. She turns what should be a fun shopping trip into an annoying day of how everything would look in her house.,ham,default
"Sir, i am waiting for your call.",ham,default
What's up. Do you want me to come online?,ham,default
"It could work, we'll reach a consensus at the next meeting",ham,default
Aiyah then i wait lor. Then u entertain me. Hee...,ham,default
"The last thing i ever wanted to do was hurt you. And i didn't think it would have. You'd laugh, be embarassed, delete the tag and keep going. But as far as i knew, it wasn't even up. The fact that you even felt like i would do it to hurt you shows you really don't know me at all. It was messy wednesday, but it wasn't bad. The problem i have with it is you HAVE the time to clean it, but you choose not to. You skype, you take pictures, you sleep, you want to go out. I don't mind a few things here and there, but when you don't make the bed, when you throw laundry on top of it, when i can't have a friend in the house because i'm embarassed that there's underwear and bras strewn on the bed, pillows on the floor, that's something else. You used to be good about at least making the bed.",ham,default
I'll let you know when it kicks in,ham,default
You call him now ok i said call him,ham,default
Or Ì_ go buy wif him then i meet Ì_ later can?,ham,default
Mmmm ... Fuck ... Not fair ! You know my weaknesses ! *grins* *pushes you to your knee's* *exposes my belly and pulls your head to it* Don't forget ... I know yours too *wicked smile*,ham,default
Today my system sh get ready.all is well and i am also in the deep well,ham,default
Dont know supports ass and srt i thnk. I think ps3 can play through usb too,ham,default
Oh ok i didnt know what you meant. Yep i am baby jontin,ham,default
You have WON a guaranteed å£1000 cash or a å£2000 prize.To claim yr prize call our customer service representative on,spam,default
Would you like to see my XXX pics they are so hot they were nearly banned in the uk!,spam,default
I AM AT A PARTY WITH ALEX NICHOLS,ham,default
Just seeing your missed call my dear brother. Do have a gr8 day.,ham,default
Ok.. ÌÏ finishing soon?,ham,default
"Come to me, slave. Your doing it again ... Going into your shell and unconsciously avoiding me ... You are making me unhappy :-(",ham,default
I think asking for a gym is the excuse for lazy people. I jog.,ham,default
Urgent! Please call 09061743811 from landline. Your ABTA complimentary 4* Tenerife Holiday or å£5000 cash await collection SAE T&Cs Box 326 CW25WX 150ppm,spam,default
No. On the way home. So if not for the long dry spell the season would have been over,ham,default
I gotta collect da car at 6 lei.,ham,default
Ok but knackered. Just came home and went to sleep! Not good at this full time work lark.,ham,default
Probably earlier than that if the station's where I think it is,ham,default
CALL 09090900040 & LISTEN TO EXTREME DIRTY LIVE CHAT GOING ON IN THE OFFICE RIGHT NOW TOTAL PRIVACY NO ONE KNOWS YOUR [sic] LISTENING 60P MIN 24/7MP 0870753331018+,spam,default
"FreeMsg Hey U, i just got 1 of these video/pic fones, reply WILD to this txt & ill send U my pics, hurry up Im so bored at work xxx (18 150p/rcvd STOP2stop)",spam,default
"Uh, heads up we don't have THAT much left",ham,default
I love working from home :),ham,default
My sister got placed in birla soft da:-),ham,default
Wah... Okie okie... Muz make use of e unlimited... Haha... ,ham,default
ELLO BABE U OK?,ham,default
Hello beautiful r u ok? I've kinda ad a row wiv and he walked out the pub?? I wanted a night wiv u Miss u ,ham,default
Then u going ikea str aft dat?,ham,default
Lol grr my mom is taking forever with my prescription. Pharmacy is like 2 minutes away. Ugh.,ham,default
For real tho this sucks. I can't even cook my whole electricity is out. And I'm hungry.,ham,default
You want to go? ,ham,default
New TEXTBUDDY Chat 2 horny guys in ur area 4 just 25p Free 2 receive Search postcode or at gaytextbuddy.com. TXT ONE name to 89693. 08715500022 rpl Stop 2 cnl,spam,default
Its not that time of the month nor mid of the time?,ham,default
Fffff. Can you text kadeem or are you too far gone,ham,default
We not leaving yet. Ok lor then we go elsewhere n eat. U thk...,ham,default
Is fujitsu s series lifebook good?,ham,default
Yar i wanted 2 scold u yest but late already... I where got zhong se qing you? If u ask me b4 he ask me then i'll go out w u all lor. N u still can act so real.,ham,default
Dont know you bring some food,ham,default
No current and food here. I am alone also,ham,default
I'll be in sch fr 4-6... I dun haf da book in sch... It's at home...,ham,default
Hello. They are going to the village pub at 8 so either come here or there accordingly. Ok?,ham,default
Omg it could snow here tonite!,ham,default
Free 1st week entry 2 TEXTPOD 4 a chance 2 win 40GB iPod or å£250 cash every wk. Txt VPOD to 81303 Ts&Cs www.textpod.net custcare 08712405020.,spam,default
What pa tell me.. I went to bath:-),ham,default
Jus finished avatar nigro,ham,default
Hope you are having a great day.,ham,default
The fact that you're cleaning shows you know why i'm upset. Your priority is constantly \what i want to do,ham,default
"WELL DONE! Your 4* Costa Del Sol Holiday or å£5000 await collection. Call 09050090044 Now toClaim. SAE, TCs, POBox334, Stockport, SK38xh, Costå£1.50/pm, Max10mins",spam,default
K...k:)why cant you come here and search job:),ham,default
I got lousy sleep. I kept waking up every 2 hours to see if my cat wanted to come in. I worry about him when its cold :(,ham,default
Can Ì_ call me at 10:10 to make sure dat i've woken up...,ham,default
Hey we can go jazz power yoga hip hop kb and yogasana ,ham,default
Wait 2 min..stand at bus stop,ham,default
Oh ic. I thought you meant mary jane.,ham,default
Haha... Really oh no... How? Then will they deduct your lesson tmr?,ham,default
Nah im goin 2 the wrks with j wot bout u?,ham,default
Good night. Am going to sleep.,ham,default
Take something for pain. If it moves however to any side in the next 6hrs see a doctor.,ham,default
Howz that persons story,ham,default
Guess what! Somebody you know secretly fancies you! Wanna find out who it is? Give us a call on 09065394973 from Landline DATEBox1282EssexCM61XN 150p/min 18,spam,default
"Honeybee Said: *I'm d Sweetest in d World* God Laughed &amp; Said: *Wait,U Havnt Met d Person Reading This Msg* MORAL: Even GOD Can Crack Jokes! GM+GN+GE+GN:)",ham,default
Thanks. It was only from tescos but quite nice. All gone now. Speak soon ,ham,default
Even i cant close my eyes you are in me our vava playing umma :-D,ham,default
2 laptop... I noe infra but too slow lar... I wan fast one,ham,default
You have won a guaranteed å£200 award or even å£1000 cashto claim UR award call free on 08000407165 (18+) 2 stop getstop on 88222 PHP,spam,default
Nvm it's ok...,ham,default
Yes but can we meet in town cos will go to gep and then home. You could text at bus stop. And don't worry we'll have finished by march Û_ ish!,ham,default
Thats cool. Where should i cum? On you or in you? :),ham,default
Lol alright i was thinkin that too haha,ham,default
No I'm in the same boat. Still here at my moms. Check me out on yo. I'm half naked.,ham,default
Shhhhh nobody is supposed to know!,ham,default
"Sorry, I'll call later in meeting any thing related to trade please call Arul. &lt;#&gt; ",ham,default
Hey i will be late... i'm at amk. Need to drink tea or coffee,ham,default
The length is e same but e top shorter n i got a fringe now. I thk i'm not going liao. Too lazy. Dun wan 2 distract u also.,ham,default
S..antha num corrct dane,ham,default
The basket's gettin full so I might be by tonight,ham,default
HI DARLIN IVE JUST GOT BACK AND I HAD A REALLY NICE NIGHT AND THANKS SO MUCH FOR THE LIFT SEE U TOMORROW XXX,ham,default
No other Valentines huh? The proof is on your fb page. Ugh I'm so glad I really DIDN'T watch your rupaul show you TOOL!,ham,default
Free tones Hope you enjoyed your new content. text stop to 61610 to unsubscribe. help:08712400602450p Provided by tones2you.co.uk,spam,default
Have you been practising your curtsey?,ham,default
\YEH I AM DEF UP4 SOMETHING SAT,ham,default
"Well, I have to leave for my class babe ... You never came back to me ... :-( ... Hope you have a nice sleep, my love",ham,default
LMAO where's your fish memory when I need it?,ham,default
But i'll b going 2 sch on mon. My sis need 2 take smth.,ham,default
TheMob>Yo yo yo-Here comes a new selection of hot downloads for our members to get for FREE! Just click & open the next link sent to ur fone...,spam,default
