Line_item_target,line_item_narative,label,train_test_tag,description,word_count,yake_keywords,yake_keywords_cutoff,yake_keywords_cutoff_ud
spam,Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send CASH to 86688 only 150p/msg. CC: 08708800282 HG/Suite342/2Lands Row/W1J6HL,1,test,ur cash-balance currently 500 pounds - maximize ur cash-in send cash 86688 150p/msg. cc: 08708800282 hg/suite342/2lands row/w1j6hl,17,"[('cash-in send cash', 0.005401660759706154), ('maximize ur cash-in', 0.02541909697430123), ('send cash', 0.02541909697430123), ('cash-in send', 0.04188746641162499), ('pounds', 0.05899937629682816), ('msg', 0.05899937629682816), ('maximize', 0.12363091320521931), ('cash', 0.12363091320521931), ('row', 0.17881754828257995), ('cash-balance', 0.2005079697193566), ('cash-in', 0.2005079697193566), ('send', 0.2005079697193566)]","['cash-balance', 'cash-in', 'send']","cash-balance,cash-in,send"
ham,"I'm an actor. When i work, i work in the evening and sleep late. Since i'm unemployed at the moment, i ALWAYS sleep late. When you're unemployed, every day is saturday.",0,test,"i'm actor. work, work evening sleep late. since i'm unemployed moment, always sleep late. unemployed, every day saturday.",18,"[('sleep late', 0.15312159153764796), ('late', 0.1875353812823809), ('actor', 0.2166526964422839), ('work', 0.2525442435741655), ('sleep', 0.31253537861200076), ('evening sleep late', 0.3434541634325837), ('unemployed', 0.37914867225631155), ('work evening', 0.46745385991451494), ('work evening sleep', 0.5385143192205663), ('moment', 0.5832409610829552), ('evening', 0.6306767571515512), ('saturday', 0.6316828065349992), ('evening sleep', 0.6507577588198243), ('day', 0.7530242018065101), ('unemployed moment', 0.7929824988705823), ('day saturday', 0.9072047295430753)]","['actor', 'work', 'sleep', 'evening sleep late', 'unemployed', 'work evening', 'work evening sleep', 'moment', 'evening', 'saturday', 'evening sleep', 'day', 'unemployed moment', 'day saturday']","actor,work,sleep,evening sleep late,unemployed,work evening,work evening sleep,moment,evening,saturday,evening sleep,day,unemployed moment,day saturday"
ham,"Hello! Just got here, st andrews-boy its a long way! Its cold. I will keep you posted",0,train,"hello! got here, st andrews-boy long way! cold. keep posted",10,"[('cold', 0.27573389687933125), ('posted', 0.6511101154454433), ('andrews-boy', 0.7016498766455139), ('long', 0.7016498766455139), ('andrews-boy long', 0.9697158139552228)]","['cold', 'posted', 'andrews-boy', 'long', 'andrews-boy long']","cold,posted,andrews-boy,long,andrews-boy long"
ham,Ha ha cool cool chikku chikku:-):-DB-),0,test,ha ha cool cool chikku chikku:-):-db-),6,"[('cool cool chikku', 0.03339840940482845), ('cool chikku chikku', 0.03339840940482845), ('cool cool', 0.09700399286574239), ('cool chikku', 0.09700399286574239), ('chikku chikku', 0.09700399286574239), ('cool', 0.14868279128010753), ('chikku', 0.14868279128010753)]",[],
ham,Oh ok no prob..,0,test,oh ok prob..,3,"[('prob.', 0.15831692877998726)]",[],
ham,Check audrey's status right now,0,train,check audrey's status right,4,"[('check audrey status', 0.01655915082773619), ('check audrey', 0.04940384002065631), ('audrey status', 0.09700399286574239), ('check', 0.15831692877998726), ('audrey', 0.29736558256021506), ('status', 0.29736558256021506)]","['audrey', 'status']","audrey,status"
ham,Busy here. Trying to finish for new year. I am looking forward to finally meeting you...,0,test,busy here. trying finish new year. looking forward finally meeting you...,11,"[('busy', 0.2200560909321288), ('year', 0.4949246952252326), ('finish new year', 0.5162806230574593), ('finish', 0.68796622281612), ('forward', 0.7625957055371981), ('finally', 0.7625957055371981), ('meeting', 0.7625957055371981), ('forward finally', 1.3897843987848642), ('finally meeting', 1.3897843987848642), ('forward finally meeting', 3.1161016824286567)]","['busy', 'year', 'finish new year', 'finish', 'forward', 'finally', 'meeting', 'forward finally', 'finally meeting', 'forward finally meeting']","busy,year,finish new year,finish,forward,finally,meeting,forward finally,finally meeting,forward finally meeting"
ham,"Good afternoon sunshine! How dawns that day ? Are we refreshed and happy to be alive? Do we breathe in the air and smile ? I think of you, my love ... As always",0,train,"good afternoon sunshine! dawns day ? refreshed happy alive? breathe air smile ? think you, love ... always",18,"[('good afternoon sunshine', 0.02297976975716566), ('good afternoon', 0.0934346755383478), ('afternoon sunshine', 0.0934346755383478), ('good', 0.2200560909321288), ('sunshine', 0.2200560909321288), ('love', 0.26303348124903125), ('dawns day', 0.32441639786848336), ('afternoon', 0.38831292435681075), ('refreshed happy alive', 0.40991697689533735), ('dawns', 0.4949246952252326), ('day', 0.4949246952252326), ('refreshed', 0.4949246952252326), ('alive', 0.4949246952252326), ('refreshed happy', 0.5162806230574593), ('happy alive', 0.5162806230574593), ('breathe', 0.5880798524606783), ('smile', 0.5880798524606783), ('happy', 0.68796622281612), ('air', 0.7625957055371981), ('breathe air', 0.8131286944405928)]","['good', 'sunshine', 'love', 'dawns day', 'afternoon', 'refreshed happy alive', 'dawns', 'day', 'refreshed', 'alive', 'refreshed happy', 'happy alive', 'breathe', 'smile', 'happy', 'air', 'breathe air']","good,sunshine,love,dawns day,afternoon,refreshed happy alive,dawns,day,refreshed,alive,refreshed happy,happy alive,breathe,smile,happy,air,breathe air"
ham,Well i know Z will take care of me. So no worries.,0,train,well know z take care me. worries.,7,"[('care me. worries', 0.04940384002065631), ('worries', 0.15831692877998726), ('care', 0.29736558256021506)]",['care'],care
spam,"Update_Now - Xmas Offer! Latest Motorola, SonyEricsson & Nokia & FREE Bluetooth! Double Mins & 1000 Txt on Orange. Call MobileUpd8 on 08000839402 or call2optout/F4Q=",1,train,"update_now - xmas offer! latest motorola, sonyericsson & nokia & free bluetooth! double mins & 1000 txt orange. call mobileupd8 08000839402 call2optout/f4q=",22,"[('xmas offer', 0.0565406034156422), ('update', 0.06997357213356549), ('sonyericsson', 0.20717186494652254), ('nokia', 0.20717186494652254), ('xmas', 0.23133275159292982), ('offer', 0.23133275159292982), ('call', 0.31813151393529204), ('latest motorola', 0.35350894161299157), ('free bluetooth', 0.35350894161299157), ('latest', 0.5110573480904945), ('motorola', 0.5110573480904945), ('free', 0.5110573480904945), ('bluetooth', 0.5110573480904945), ('double mins', 0.5732105463588063), ('txt orange', 0.5732105463588063), ('double', 0.6036200563782421), ('mins', 0.6036200563782421), ('txt', 0.6036200563782421), ('orange', 0.6036200563782421)]","['sonyericsson', 'nokia', 'xmas', 'offer', 'call', 'latest motorola', 'free bluetooth', 'latest', 'motorola', 'free', 'bluetooth', 'double mins', 'txt orange', 'double', 'mins', 'txt', 'orange']","sonyericsson,nokia,xmas,offer,call,latest motorola,free bluetooth,latest,motorola,free,bluetooth,double mins,txt orange,double,mins,txt,orange"
spam,Here is your discount code RP176781. To stop further messages reply stop. www.regalportfolio.co.uk. Customer Services 08717205546,1,test,discount code rp176781. stop messages reply stop. www.regalportfolio.co.uk. customer services 08717205546,11,"[('discount code', 0.029059989032151633), ('discount', 0.1680456893904008), ('code', 0.1680456893904008), ('stop', 0.3126276318584983), ('customer services', 0.3431605285562027), ('messages reply', 0.4451196252872818), ('stop messages reply', 0.5026605294974842), ('messages reply stop', 0.5026605294974842), ('customer', 0.5054575682917825), ('services', 0.5054575682917825), ('stop messages', 0.5314204645911502), ('reply stop', 0.5314204645911502), ('messages', 0.5549916791128103), ('reply', 0.5549916791128103)]","['stop', 'customer services', 'messages reply', 'stop messages reply', 'messages reply stop', 'customer', 'services', 'stop messages', 'reply stop', 'messages', 'reply']","stop,customer services,messages reply,stop messages reply,messages reply stop,customer,services,stop messages,reply stop,messages,reply"
ham,Wat uniform? In where get?,0,train,wat uniform? get?,3,"[('wat uniform', 0.04188746641162499), ('wat', 0.2005079697193566), ('uniform', 0.2005079697193566)]","['wat', 'uniform']","wat,uniform"
ham,"Cool, text me when you're ready",0,train,"cool, text ready",3,"[('text ready', 0.02570861714399338), ('cool', 0.04491197687864554), ('text', 0.15831692877998726), ('ready', 0.15831692877998726)]",[],
ham,"Hello my boytoy ... Geeee I miss you already and I just woke up. I wish you were here in bed with me, cuddling me. I love you ...",0,train,"hello boytoy ... geeee miss already woke up. wish bed me, cuddling me. love ...",15,"[('boytoy', 0.2005079697193566), ('cuddling me. love', 0.2766850298235749), ('geeee miss', 0.4456055016437946), ('geeee', 0.46553351027698087), ('cuddling', 0.46553351027698087), ('love', 0.46553351027698087), ('miss', 0.6621399683957523), ('woke', 0.6621399683957523), ('bed', 0.6621399683957523), ('miss already woke', 0.7807198046783035)]","['boytoy', 'cuddling me. love', 'geeee miss', 'geeee', 'cuddling', 'love', 'miss', 'woke', 'bed', 'miss already woke']","boytoy,cuddling me. love,geeee miss,geeee,cuddling,love,miss,woke,bed,miss already woke"
ham,I will spoil you in bed as well :),0,train,spoil bed well :),4,"[('spoil bed', 0.04940384002065631), ('spoil', 0.15831692877998726), ('bed', 0.29736558256021506)]",['bed'],bed
ham,I'm going for bath will msg you next  &lt;#&gt;  min..,0,train,i'm going bath msg next &lt;#&gt; min..,7,"[('min.', 0.04491197687864554), ('bath msg', 0.09700399286574239), ('bath', 0.29736558256021506), ('msg', 0.29736558256021506)]","['bath', 'msg']","bath,msg"
ham,I cant keep talking to people if am not sure i can pay them if they agree to price. So pls tell me what you want to really buy and how much you are willing to pay,0,test,cant keep talking people sure pay agree price. pls tell want really buy much willing pay,16,"[('pay agree price', 0.021279743632738875), ('agree price', 0.038712704770480444), ('talking people', 0.06293003982763551), ('pay agree', 0.1273706910391025), ('price', 0.1531727145735673), ('pay', 0.23216465691767033), ('talking', 0.2433193585127945), ('people', 0.2433193585127945), ('agree', 0.2433193585127945), ('people sure pay', 0.2476357241481712), ('pls', 0.3858257107143767), ('buy', 0.5275897320195264)]","['pay', 'talking', 'people', 'agree', 'people sure pay', 'pls', 'buy']","pay,talking,people,agree,people sure pay,pls,buy"
spam,"Thanks for your Ringtone Order, Reference T91. You will be charged GBP 4 per week. You can unsubscribe at anytime by calling customer services on 09057039994",1,test,"thanks ringtone order, reference t91. charged gbp 4 per week. unsubscribe anytime calling customer services 09057039994",16,"[('reference', 0.06588837669267192), ('ringtone order', 0.0934346755383478), ('order', 0.2200560909321288), ('charged gbp', 0.32441639786848336), ('ringtone', 0.38831292435681075), ('charged', 0.4949246952252326), ('gbp', 0.4949246952252326), ('week', 0.4949246952252326), ('unsubscribe', 0.5880798524606783), ('services', 0.5880798524606783), ('anytime', 0.7625957055371981), ('calling', 0.7625957055371981), ('customer', 0.7625957055371981), ('unsubscribe anytime', 0.8131286944405928), ('customer services', 0.8131286944405928), ('anytime calling', 1.3897843987848642), ('calling customer', 1.3897843987848642), ('unsubscribe anytime calling', 1.6641344268913383), ('calling customer services', 1.6641344268913383), ('anytime calling customer', 3.1161016824286567)]","['order', 'charged gbp', 'ringtone', 'charged', 'gbp', 'week', 'unsubscribe', 'services', 'anytime', 'calling', 'customer', 'unsubscribe anytime', 'customer services', 'anytime calling', 'calling customer', 'unsubscribe anytime calling', 'calling customer services', 'anytime calling customer']","order,charged gbp,ringtone,charged,gbp,week,unsubscribe,services,anytime,calling,customer,unsubscribe anytime,customer services,anytime calling,calling customer,unsubscribe anytime calling,calling customer services,anytime calling customer"
ham,Can you say what happen,0,train,say happen,2,"[('happen', 0.15831692877998726)]",[],
ham,You could have seen me..i did't recognise you Face.:),0,train,could seen me..i did't recognise face.:),6,"[('recognise face', 0.04940384002065631), ('face', 0.15831692877998726), ('recognise', 0.29736558256021506)]",['recognise'],recognise
ham,Well there's not a lot of things happening in Lindsay on New years *sighs* Some bars in Ptbo and the blue heron has something going,0,train,well there's lot things happening lindsay new years *sighs* bars ptbo blue heron something going,15,"[('bars ptbo blue', 0.01655915082773619), ('lot things happening', 0.03339840940482845), ('things happening lindsay', 0.03339840940482845), ('ptbo blue heron', 0.03339840940482845), ('sighs', 0.04491197687864554), ('lindsay new years', 0.04940384002065631), ('bars ptbo', 0.04940384002065631), ('lot things', 0.09700399286574239), ('things happening', 0.09700399286574239), ('happening lindsay', 0.09700399286574239), ('ptbo blue', 0.09700399286574239), ('blue heron', 0.09700399286574239), ('years', 0.15831692877998726), ('bars', 0.15831692877998726), ('lot', 0.29736558256021506), ('things', 0.29736558256021506), ('happening', 0.29736558256021506), ('lindsay', 0.29736558256021506), ('ptbo', 0.29736558256021506), ('blue', 0.29736558256021506)]","['lot', 'things', 'happening', 'lindsay', 'ptbo', 'blue']","lot,things,happening,lindsay,ptbo,blue"
ham,Keep my payasam there if rinu brings,0,test,keep payasam rinu brings,4,"[('payasam rinu brings', 0.016559150827736194), ('rinu brings', 0.04940384002065631), ('payasam rinu', 0.09700399286574239), ('brings', 0.15831692877998726), ('payasam', 0.29736558256021506), ('rinu', 0.29736558256021506)]","['payasam', 'rinu']","payasam,rinu"
ham,I taught that Ranjith sir called me. So only i sms like that. Becaus hes verifying about project. Prabu told today so only pa dont mistake me..,0,train,taught ranjith sir called me. sms like that. becaus hes verifying project. prabu told today pa dont mistake me..,19,"[('taught ranjith sir', 0.0073324509242396925), ('ranjith sir called', 0.012164019732225138), ('taught ranjith', 0.03107735477427921), ('ranjith sir', 0.050888965170882816), ('sir called', 0.050888965170882816), ('called me. sms', 0.050888965170882816), ('taught', 0.13696809108329627), ('becaus hes verifying', 0.15074418166153278), ('hes verifying project', 0.15074418166153278), ('becaus hes', 0.21339268578732606), ('verifying project', 0.21339268578732606), ('ranjith', 0.2200560909321288), ('sir', 0.2200560909321288), ('called', 0.2200560909321288), ('sms', 0.2200560909321288), ('hes verifying', 0.32441639786848336), ('prabu told today', 0.35136518550240553), ('prabu told', 0.35487136790899465), ('becaus', 0.3553358554145339), ('project', 0.3553358554145339)]","['becaus hes', 'verifying project', 'ranjith', 'sir', 'called', 'sms', 'hes verifying', 'prabu told today', 'prabu told', 'becaus', 'project']","becaus hes,verifying project,ranjith,sir,called,sms,hes verifying,prabu told today,prabu told,becaus,project"
ham,"I guess that's why you re worried. You must know that there's a way the body repairs itself. And i'm quite sure you shouldn't worry. We'll take it slow. First the tests, they will guide when your ovulation is then just relax. Nothing you've said is a reason to worry but i.ll keep on followin you up.",0,test,"guess that's worried. must know there's way body repairs itself. i'm quite sure worry. we'll take slow. first tests, guide ovulation relax. nothing said reason worry i.ll keep followin up.",30,"[('guess that worried', 0.03683643208266902), ('guess', 0.18848797765841513), ('worried', 0.18848797765841513), ('worry', 0.37794422262871097), ('body repairs', 0.5316790823063994), ('body', 0.5891703684954306), ('repairs', 0.5891703684954306), ('slow', 0.5902160185270127), ('tests', 0.621804732383889), ('guide', 0.621804732383889), ('relax', 0.621804732383889), ('ovulation', 0.745087176720067), ('reason', 0.7627130959884669), ('i.ll', 0.7627130959884669), ('followin', 0.7627130959884669), ('guide ovulation', 0.8632339079449249), ('ovulation relax', 0.8632339079449249), ('guide ovulation relax', 1.095682541130789), ('reason worry', 1.361420154486603), ('worry i.ll', 1.361420154486603)]","['worry', 'body repairs', 'body', 'repairs', 'slow', 'tests', 'guide', 'relax', 'ovulation', 'reason', 'i.ll', 'followin', 'guide ovulation', 'ovulation relax', 'guide ovulation relax', 'reason worry', 'worry i.ll']","worry,body repairs,body,repairs,slow,tests,guide,relax,ovulation,reason,i.ll,followin,guide ovulation,ovulation relax,guide ovulation relax,reason worry,worry i.ll"
ham,"Yeah sure, give me a couple minutes to track down my wallet",0,train,"yeah sure, give couple minutes track wallet",7,"[('give couple minutes', 0.01655915082773619), ('minutes track wallet', 0.016559150827736194), ('couple minutes track', 0.03339840940482845), ('give couple', 0.04940384002065631), ('track wallet', 0.04940384002065631), ('couple minutes', 0.09700399286574239), ('minutes track', 0.09700399286574239), ('yeah', 0.15831692877998726), ('give', 0.15831692877998726), ('wallet', 0.15831692877998726), ('couple', 0.29736558256021506), ('minutes', 0.29736558256021506), ('track', 0.29736558256021506)]","['couple', 'minutes', 'track']","couple,minutes,track"
ham,Hey leave it. not a big deal:-) take care.,0,train,hey leave it. big deal:-) take care.,7,"[('hey leave', 0.04940384002065631), ('big deal', 0.04940384002065631), ('leave it. big', 0.09700399286574239), ('hey', 0.15831692877998726), ('deal', 0.15831692877998726), ('care', 0.15831692877998726), ('leave', 0.29736558256021506), ('big', 0.29736558256021506)]","['leave', 'big']","leave,big"
ham,Hey i will be late ah... Meet you at 945+,0,test,hey late ah... meet 945+,5,"[('hey late', 0.07796891081290885), ('meet', 0.17881754828257995), ('hey', 0.2005079697193566), ('late', 0.36073110501666333)]","['hey', 'late']","hey,late"
spam,"Double mins and txts 4 6months FREE Bluetooth on Orange. Available on Sony, Nokia Motorola phones. Call MobileUpd8 on 08000839402 or call2optout/N9DX",1,train,"double mins txts 4 6months free bluetooth orange. available sony, nokia motorola phones. call mobileupd8 08000839402 call2optout/n9dx",17,"[('double mins txts', 0.02297976975716566), ('free bluetooth orange', 0.02297976975716566), ('double mins', 0.0934346755383478), ('mins txts', 0.0934346755383478), ('free bluetooth', 0.0934346755383478), ('bluetooth orange', 0.0934346755383478), ('double', 0.2200560909321288), ('txts', 0.2200560909321288), ('free', 0.2200560909321288), ('orange', 0.2200560909321288), ('call', 0.26303348124903125), ('mins', 0.38831292435681075), ('bluetooth', 0.38831292435681075), ('nokia motorola phones', 0.40991697689533735), ('sony', 0.4949246952252326), ('nokia', 0.4949246952252326), ('phones', 0.4949246952252326), ('nokia motorola', 0.5162806230574593), ('motorola phones', 0.5162806230574593), ('motorola', 0.68796622281612)]","['double', 'txts', 'free', 'orange', 'call', 'mins', 'bluetooth', 'nokia motorola phones', 'sony', 'nokia', 'phones', 'nokia motorola', 'motorola phones', 'motorola']","double,txts,free,orange,call,mins,bluetooth,nokia motorola phones,sony,nokia,phones,nokia motorola,motorola phones,motorola"
ham,It took Mr owl 3 licks,0,test,took mr owl 3 licks,5,"[('licks', 0.04491197687864554), ('owl', 0.15831692877998726)]",[],
ham,Customer place i will call you.,0,train,customer place call you.,4,"[('customer place call', 0.01655915082773619), ('customer place', 0.04940384002065631), ('place call', 0.09700399286574239), ('customer', 0.15831692877998726), ('place', 0.29736558256021506), ('call', 0.29736558256021506)]","['place', 'call']","place,call"
ham,Mm that time you dont like fun,0,train,mm time dont like fun,5,"[('dont like fun', 0.04940384002065631), ('time dont', 0.09700399286574239), ('fun', 0.15831692877998726), ('time', 0.29736558256021506), ('dont', 0.29736558256021506)]","['time', 'dont']","time,dont"
spam,4mths half price Orange line rental & latest camera phones 4 FREE. Had your phone 11mths ? Call MobilesDirect free on 08000938767 to update now! or2stoptxt,1,test,4mths half price orange line rental & latest camera phones 4 free. phone 11mths ? call mobilesdirect free 08000938767 update now! or2stoptxt,22,"[('half price orange', 0.01449806907120003), ('orange line rental', 0.01449806907120003), ('latest camera phones', 0.01674103476028394), ('price orange line', 0.023800251446218824), ('half price', 0.048519231465280525), ('line rental', 0.048519231465280525), ('latest camera', 0.048519231465280525), ('price orange', 0.07824789033045686), ('orange line', 0.07824789033045686), ('camera phones', 0.08996477657613491), ('call mobilesdirect free', 0.11836102155893838), ('free', 0.1531979791671077), ('half', 0.17177521569455717), ('rental', 0.17177521569455717), ('latest', 0.17177521569455717), ('mobilesdirect free', 0.20779547275567717), ('price', 0.26938723336612563), ('orange', 0.26938723336612563), ('line', 0.26938723336612563), ('camera', 0.26938723336612563)]","['mobilesdirect free', 'price', 'orange', 'line', 'camera']","mobilesdirect free,price,orange,line,camera"
ham,Yup having my lunch buffet now.. U eat already?,0,train,yup lunch buffet now.. u eat already?,7,"[('yup lunch buffet', 0.03356262313410168), ('lunch buffet now.', 0.03356262313410168), ('yup lunch', 0.07796891081290885), ('buffet now.', 0.07796891081290885), ('lunch buffet', 0.1495930091794576), ('yup', 0.2005079697193566), ('now.', 0.2005079697193566), ('lunch', 0.36073110501666333), ('buffet', 0.36073110501666333), ('eat', 0.6621399683957523)]","['yup', 'now.', 'lunch', 'buffet', 'eat']","yup,now.,lunch,buffet,eat"
ham,Huh so late... Fr dinner?,0,train,huh late... fr dinner?,4,"[('huh late', 0.04188746641162499), ('huh', 0.2005079697193566), ('late', 0.2005079697193566), ('dinner', 0.46553351027698087)]","['huh', 'late', 'dinner']","huh,late,dinner"
ham,Hey so this sat are we going for the intro pilates only? Or the kickboxing too? ,0,train,hey sat going intro pilates only? kickboxing too?,8,"[('hey sat', 0.07796891081290885), ('sat going intro', 0.1495930091794576), ('intro pilates', 0.1495930091794576), ('hey', 0.2005079697193566), ('sat', 0.36073110501666333), ('intro', 0.36073110501666333), ('pilates', 0.36073110501666333), ('kickboxing', 0.46553351027698087)]","['hey', 'sat', 'intro', 'pilates', 'kickboxing']","hey,sat,intro,pilates,kickboxing"
ham,Morning only i can ok.,0,train,morning ok.,2,"[('morning', 0.15831692877998726)]",[],
ham,Yes i think so. I am in office but my lap is in room i think thats on for the last few days. I didnt shut that down,0,train,yes think so. office lap room think thats last days. didnt shut,12,"[('office lap room', 0.009001679881101624), ('office lap', 0.04188746641162499), ('lap room', 0.04188746641162499), ('didnt shut', 0.12124452117740256), ('days', 0.12363091320521931), ('office', 0.2005079697193566), ('lap', 0.2005079697193566), ('room', 0.2005079697193566), ('didnt', 0.32883716426354986), ('shut', 0.32883716426354986)]","['office', 'lap', 'room', 'didnt', 'shut']","office,lap,room,didnt,shut"
ham,Pick you up bout 7.30ish? What time are  and that going?,0,test,pick bout 7.30ish? time going?,5,"[('pick bout', 0.04188746641162499), ('pick', 0.2005079697193566), ('bout', 0.2005079697193566), ('time', 0.46553351027698087)]","['pick', 'bout', 'time']","pick,bout,time"
ham,From here after The performance award is calculated every two month.not for current one month period..,0,train,performance award calculated every two month.not current one month period..,10,"[('performance award calculated', 0.01655915082773619), ('performance award', 0.04940384002065631), ('month period.', 0.04940384002065631), ('award calculated', 0.09700399286574239), ('month.not current', 0.09700399286574239), ('current one month', 0.09700399286574239), ('performance', 0.15831692877998726), ('period.', 0.15831692877998726), ('award', 0.29736558256021506), ('calculated', 0.29736558256021506), ('month.not', 0.29736558256021506), ('current', 0.29736558256021506), ('month', 0.29736558256021506)]","['award', 'calculated', 'month.not', 'current', 'month']","award,calculated,month.not,current,month"
ham,Was actually sleeping and still might when u call back. So a text is gr8. You rock sis. Will send u a text wen i wake.,0,train,actually sleeping still might u call back. text gr8. rock sis. send u text wen wake.,16,"[('call back', 0.053188643354743534), ('back', 0.17995476918065306), ('sleeping', 0.2806398793267283), ('call', 0.2806398793267283), ('text', 0.34475890435431167), ('rock sis', 0.3828197090378066), ('rock', 0.5261558022617294), ('sis', 0.5261558022617294), ('send', 0.5764139711572966), ('wake', 0.5764139711572966), ('wen wake', 0.6887100962260271), ('wen', 0.7075332450907514), ('text wen', 0.9525787841749924), ('text wen wake', 1.0443000953692012), ('send u text', 1.1106144388498354)]","['sleeping', 'call', 'text', 'rock sis', 'rock', 'sis', 'send', 'wake', 'wen wake', 'wen', 'text wen', 'text wen wake', 'send u text']","sleeping,call,text,rock sis,rock,sis,send,wake,wen wake,wen,text wen,text wen wake,send u text"
ham,"You are always putting your business out there. You put pictures of your ass on facebook. You are one of the most open people i've ever met. Why would i think a picture of your room would hurt you, make you feel violated.",0,train,"always putting business there. put pictures ass facebook. one open people i've ever met. would think picture room would hurt you, make feel violated.",24,"[('putting business', 0.08044699864754903), ('putting', 0.2728683653687158), ('business', 0.2728683653687158), ('ass facebook', 0.314675574623463), ('put pictures ass', 0.39460280449517227), ('pictures ass facebook', 0.39460280449517227), ('put pictures', 0.4047478872600852), ('put', 0.4230062319459499), ('facebook', 0.4230062319459499), ('met', 0.5164666904430245), ('ass', 0.5658452493032464), ('make', 0.5669066263557515), ('violated', 0.5669066263557515), ('pictures ass', 0.6271341987826262), ('open', 0.655037040152484), ('people', 0.655037040152484), ('make feel', 0.6570390715654009), ('feel violated', 0.6570390715654009), ('make feel violated', 0.6706802367421094), ('pictures', 0.6811447870208643)]","['putting', 'business', 'ass facebook', 'put pictures ass', 'pictures ass facebook', 'put pictures', 'put', 'facebook', 'met', 'ass', 'make', 'violated', 'pictures ass', 'open', 'people', 'make feel', 'feel violated', 'make feel violated', 'pictures']","putting,business,ass facebook,put pictures ass,pictures ass facebook,put pictures,put,facebook,met,ass,make,violated,pictures ass,open,people,make feel,feel violated,make feel violated,pictures"
ham,"Good evening Sir, Al Salam Wahleykkum.sharing a happy news.By the grace of God, i got an offer from Tayseer,TISSCO and i joined.Hope you are fine.Inshah Allah,meet you sometime.Rakhesh,visitor from India.",0,train,"good evening sir, al salam wahleykkum.sharing happy news.by grace god, got offer tayseer,tissco joined.hope fine.inshah allah,meet sometime.rakhesh,visitor india.",18,"[('good evening sir', 0.008321268142839145), ('news.by grace god', 0.016559150827736194), ('joined.hope fine.inshah allah,meet', 0.016559150827736194), ('salam wahleykkum.sharing happy', 0.03339840940482845), ('wahleykkum.sharing happy news.by', 0.03339840940482845), ('happy news.by grace', 0.03339840940482845), ('offer tayseer,tissco joined.hope', 0.03339840940482845), ('tayseer,tissco joined.hope fine.inshah', 0.03339840940482845), ('india', 0.04491197687864554), ('good evening', 0.04940384002065631), ('evening sir', 0.04940384002065631), ('grace god', 0.04940384002065631), ('fine.inshah allah,meet', 0.04940384002065631), ('salam wahleykkum.sharing', 0.09700399286574239), ('wahleykkum.sharing happy', 0.09700399286574239), ('happy news.by', 0.09700399286574239), ('news.by grace', 0.09700399286574239), ('offer tayseer,tissco', 0.09700399286574239), ('tayseer,tissco joined.hope', 0.09700399286574239), ('joined.hope fine.inshah', 0.09700399286574239)]",[],
ham,Hmmm...k...but i want to change the field quickly da:-)i wanna get system administrator or network administrator..,0,train,hmmm...k...but want change field quickly da:-)i wanna get system administrator network administrator..,12,"[('administrator network administrator.', 0.016559150827736194), ('change field quickly', 0.03339840940482845), ('system administrator network', 0.03339840940482845), ('hmmm', 0.04491197687864554), ('network administrator.', 0.04940384002065631), ('change field', 0.09700399286574239), ('field quickly', 0.09700399286574239), ('wanna get system', 0.09700399286574239), ('system administrator', 0.09700399286574239), ('administrator network', 0.09700399286574239), ('administrator.', 0.15831692877998726), ('change', 0.29736558256021506), ('field', 0.29736558256021506), ('quickly', 0.29736558256021506), ('wanna', 0.29736558256021506), ('system', 0.29736558256021506), ('network', 0.29736558256021506)]","['change', 'field', 'quickly', 'wanna', 'system', 'network']","change,field,quickly,wanna,system,network"
spam,"FREE RINGTONE text FIRST to 87131 for a poly or text GET to 87131 for a true tone! Help? 0845 2814032 16 after 1st free, tones are 3xå£150pw to eå£nd txt stop",1,test,"free ringtone text first 87131 poly text get 87131 true tone! help? 0845 2814032 16 1st free, tones 3xå£150pw eå£nd txt stop",22,"[('free ringtone text', 0.06276097864758105), ('poly text', 0.0736294700886587), ('true tone', 0.08574722747460312), ('ringtone text', 0.11895029414645923), ('free ringtone', 0.13949595704230114), ('text', 0.181570109304153), ('poly', 0.1888525704075581), ('true', 0.1888525704075581), ('free', 0.2090925030783557), ('ringtone', 0.29273885838564523), ('tone', 0.4181850061567114), ('tones', 0.4181850061567114), ('stop', 0.5408809355033167), ('txt stop', 0.5775007405909549), ('txt', 0.6768326484103715)]","['free', 'ringtone', 'tone', 'tones', 'stop', 'txt stop', 'txt']","free,ringtone,tone,tones,stop,txt stop,txt"
ham,Dear how is chechi. Did you talk to her,0,train,dear chechi. talk,3,"[('dear chechi. talk', 0.008321268142839145), ('dear chechi.', 0.04940384002065631), ('chechi. talk', 0.04940384002065631), ('dear', 0.15831692877998726), ('talk', 0.15831692877998726), ('chechi.', 0.29736558256021506)]",['chechi.'],chechi.
ham,The hair cream has not been shipped.,0,train,hair cream shipped.,3,"[('hair cream shipped', 0.008321268142839145), ('hair cream', 0.04940384002065631), ('cream shipped', 0.04940384002065631), ('hair', 0.15831692877998726), ('shipped', 0.15831692877998726), ('cream', 0.29736558256021506)]",['cream'],cream
ham,None of that's happening til you get here though,0,train,none that's happening til get though,6,"[('happening til', 0.09700399286574239), ('happening', 0.29736558256021506), ('til', 0.29736558256021506)]","['happening', 'til']","happening,til"
